Distrito,m^2,Habitaciones,Precios
Eixample,351,3,2300000
Sarrià-Sant Gervasi,298,5,1750000
Eixample,90,2,590000
Eixample,130,2,450000
Horta-Guinardó,110,3,430000
Eixample,161,5,690000
Eixample,110,2,395000
Eixample,106,3,595000
Les Corts,62,2,450000
Ciutat Vella,152,5,665000
Horta-Guinardó,83,3,270000
Eixample,80,2,690000
Eixample,80,2,630000
Sarrià-Sant Gervasi,132,3,790000
Sant Martí,41,1,177000
Les Corts,80,2,375000
Sarrià-Sant Gervasi,170,5,950000
Les Corts,110,3,800000
Sants-Montjuïc,65,3,169000
Ciutat Vella,194,3,840000
Gràcia,79,3,329000
Sant Martí,168,3,1090000
Sant Andreu,64,2,185000
Sant Martí,130,3,695000
Sant Martí,111,3,586000
Sant Martí,83,4,239000
Eixample,120,3,790000
Eixample,181,5,995000
Eixample,94,4,420000
Sant Martí,195,3,640000
Ciutat Vella,108,2,649000
Sarrià-Sant Gervasi,169,4,775000
Sant Martí,93,4,340000
Eixample,140,4,495000
Sant Martí,102,4,345000
Ciutat Vella,174,3,950000
Sants-Montjuïc,239,4,690000
Eixample,153,3,1495000
Ciutat Vella,144,3,650000
Eixample,124,4,530000
Sarrià-Sant Gervasi,115,3,660000
Eixample,131,3,560000
Eixample,100,2,800000
Eixample,115,3,990000
Sarrià-Sant Gervasi,277,5,1900000
Gràcia,104,3,470000
Sant Martí,71,2,370000
Sants-Montjuïc,228,4,650000
Sarrià-Sant Gervasi,160,3,880000
Sarrià-Sant Gervasi,380,5,1750000
Sarrià-Sant Gervasi,585,6,2350000
Eixample,271,7,1800000
Eixample,82,2,380000
Eixample,175,3,1600000
Ciutat Vella,84,2,475000
Eixample,63,1,335000
Eixample,189,4,1175000
Sarrià-Sant Gervasi,150,3,780000
Horta-Guinardó,50,3,135000
Les Corts,130,3,530000
Eixample,223,3,1995000
Eixample,153,3,1495000
Eixample,85,3,339000
Sarrià-Sant Gervasi,160,5,850000
Eixample,120,2,575000
Les Corts,206,4,1250000
Sarrià-Sant Gervasi,232,4,1175000
Sarrià-Sant Gervasi,203,4,1095000
Eixample,59,1,480000
Eixample,167,4,695000
Les Corts,232,5,1660000
Eixample,800,4,1700000
Ciutat Vella,86,2,298000
Sarrià-Sant Gervasi,105,4,425000
Ciutat Vella,145,3,680000
Sarrià-Sant Gervasi,155,5,875000
Eixample,148,3,995000
Eixample,102,4,440000
Sarrià-Sant Gervasi,250,5,1100000
Eixample,101,2,625000
Les Corts,100,3,385000
Ciutat Vella,88,2,710000
Eixample,77,1,260000
Eixample,87,3,399000
Sant Martí,60,1,179000
Sarrià-Sant Gervasi,243,4,650000
Eixample,118,3,445000
Sarrià-Sant Gervasi,311,5,960000
Sarrià-Sant Gervasi,118,3,795000
Eixample,72,3,450000
Ciutat Vella,68,3,233150
Eixample,87,3,365000
Eixample,90,2,690000
Sarrià-Sant Gervasi,380,5,830000
Sarrià-Sant Gervasi,225,4,1100000
Sant Martí,94,3,359000
Sarrià-Sant Gervasi,296,6,1350000
Ciutat Vella,81,1,430000
Horta-Guinardó,161,5,490000
Sarrià-Sant Gervasi,140,3,1050000
Sarrià-Sant Gervasi,134,4,595000
Ciutat Vella,86,1,390000
Les Corts,170,4,668000
Sarrià-Sant Gervasi,197,3,800000
Sarrià-Sant Gervasi,145,4,760000
Les Corts,170,3,490000
Eixample,101,4,309000
Horta-Guinardó,122,4,449000
Eixample,213,2,1500000
Sarrià-Sant Gervasi,105,4,630000
Eixample,318,3,2500000
Eixample,80,3,365000
Sant Martí,90,4,370000
Eixample,109,4,475000
Eixample,110,3,645000
Eixample,97,4,495000
Eixample,101,3,480000
Gràcia,130,3,630000
Gràcia,364,4,1149000
Sarrià-Sant Gervasi,465,5,3370000
Les Corts,88,3,389000
Gràcia,85,4,375000
Eixample,113,3,378000
Eixample,108,3,375000
Sants-Montjuïc,90,4,279500
Les Corts,134,2,670000
Sarrià-Sant Gervasi,217,4,1150000
Les Corts,121,3,1454000
Les Corts,95,3,1082000
Eixample,125,3,690000
Eixample,71,2,348000
Sarrià-Sant Gervasi,90,3,490000
Eixample,90,3,760000
Eixample,148,2,1325000
Eixample,206,5,1095000
Sant Martí,147,4,790000
Eixample,118,3,975000
Eixample,121,3,465000
Gràcia,91,3,499000
Eixample,93,3,405000
Horta-Guinardó,64,2,149000
Eixample,138,3,850000
Sarrià-Sant Gervasi,126,3,735000
Sarrià-Sant Gervasi,130,3,795000
Eixample,132,2,599000
Eixample,135,3,895000
Sarrià-Sant Gervasi,115,3,615000
Sarrià-Sant Gervasi,144,4,630000
Eixample,141,3,825000
Sarrià-Sant Gervasi,128,3,749000
Les Corts,225,4,1350000
Eixample,158,3,599000
Sarrià-Sant Gervasi,102,2,595000
Eixample,173,3,1600000
Eixample,136,4,745000
Eixample,235,6,1220000
Ciutat Vella,76,3,395000
Eixample,122,3,620000
Sants-Montjuïc,78,3,390000
Sant Martí,79,3,150000
Ciutat Vella,108,3,298000
Sarrià-Sant Gervasi,109,3,380000
Sant Martí,73,3,283000
Nou Barris,105,3,240000
Eixample,154,4,590000
Gràcia,65,2,290000
Horta-Guinardó,122,3,450000
Nou Barris,60,2,254900
Eixample,87,4,354000
Sarrià-Sant Gervasi,116,3,845000
Sarrià-Sant Gervasi,240,4,960000
Les Corts,96,4,385000
Horta-Guinardó,88,3,340000
Sant Martí,114,3,465000
Sarrià-Sant Gervasi,152,5,750000
Sant Martí,107,2,698000
Sarrià-Sant Gervasi,148,3,1300000
Eixample,140,3,635000
Nou Barris,42,2,192100
Sarrià-Sant Gervasi,180,4,1095000
Horta-Guinardó,87,3,625000
Sarrià-Sant Gervasi,139,4,1100000
Sarrià-Sant Gervasi,365,4,2150000
Gràcia,80,2,429000
Sant Martí,93,2,455000
Nou Barris,125,3,460000
Eixample,155,5,890000
Ciutat Vella,134,3,790000
Eixample,112,2,550000
Les Corts,95,4,560000
Sant Andreu,75,3,298000
Eixample,52,1,370000
Les Corts,105,2,573000
Les Corts,76,3,339500
Les Corts,101,4,437500
Eixample,146,3,1430000
Eixample,169,3,1650000
Sants-Montjuïc,82,2,379000
Eixample,84,4,320000
Ciutat Vella,74,2,315000
Eixample,75,3,540000
Eixample,136,4,820000
Sarrià-Sant Gervasi,130,4,720000
Sarrià-Sant Gervasi,126,3,790000
Sants-Montjuïc,93,3,405000
Sarrià-Sant Gervasi,311,5,990000
Sant Martí,90,3,330000
Eixample,93,3,415000
Sant Martí,91,4,260000
Sants-Montjuïc,86,4,320000
Sant Martí,81,4,270000
Ciutat Vella,63,2,349000
Sarrià-Sant Gervasi,104,3,660000
Les Corts,605,9,4500000
Les Corts,900,7,10000000
Sarrià-Sant Gervasi,224,2,2750000
Gràcia,134,3,780000
Horta-Guinardó,79,3,199520
Les Corts,340,5,2060000
Sarrià-Sant Gervasi,248,5,1950000
Sarrià-Sant Gervasi,474,6,2350000
Nou Barris,104,3,176000
Eixample,78,3,499000
Gràcia,97,3,339000
Les Corts,185,4,860000
Sarrià-Sant Gervasi,107,4,460000
Gràcia,65,2,245000
Les Corts,101,4,437000
Horta-Guinardó,56,1,169000
Sarrià-Sant Gervasi,70,2,385000
Sant Martí,99,3,430000
Sarrià-Sant Gervasi,125,3,590000
Eixample,77,1,350000
Sarrià-Sant Gervasi,120,3,1200000
Ciutat Vella,117,3,540000
Sarrià-Sant Gervasi,242,5,980000
Sarrià-Sant Gervasi,180,4,860000
Sarrià-Sant Gervasi,151,3,690000
Sarrià-Sant Gervasi,151,2,690000
Eixample,100,2,640000
Eixample,95,3,790000
Ciutat Vella,145,3,560000
Gràcia,108,2,530000
Les Corts,82,2,862000
Les Corts,98,2,595000
Eixample,125,2,890000
Les Corts,67,2,365000
Eixample,118,4,650000
Ciutat Vella,140,4,795000
Eixample,85,4,420000
Sarrià-Sant Gervasi,200,5,1400000
Sants-Montjuïc,88,3,365000
Eixample,139,2,595000
Sants-Montjuïc,59,2,255000
Eixample,46,1,165000
Eixample,71,2,369000
Eixample,136,4,745000
Gràcia,99,3,650000
Eixample,99,3,650000
Eixample,800,4,1700000
Eixample,133,3,750000
Eixample,385,3,1450000
Sant Martí,75,3,230000
Eixample,105,2,565000
Sant Martí,62,1,390000
Sant Martí,84,3,290000
Les Corts,101,4,525000
Les Corts,92,3,375000
Les Corts,88,3,365000
Sant Martí,45,2,209000
Eixample,59,1,199900
Horta-Guinardó,250,4,795000
Eixample,85,3,389000
Sant Andreu,87,4,307000
Horta-Guinardó,76,3,269000
Eixample,179,4,765000
Eixample,149,4,710000
Les Corts,51,1,280000
Sarrià-Sant Gervasi,152,4,695000
Eixample,84,3,359000
Sarrià-Sant Gervasi,92,3,598000
Eixample,75,3,365000
Les Corts,49,1,315000
Eixample,100,2,535000
Gràcia,260,5,1050000
Horta-Guinardó,70,3,239000
Les Corts,400,4,1790000
Ciutat Vella,111,1,1150000
Eixample,149,2,1900000
Sant Martí,90,4,345000
Eixample,76,3,460000
Eixample,140,3,2500000
Sarrià-Sant Gervasi,197,4,1570000
Sants-Montjuïc,100,2,385000
Sarrià-Sant Gervasi,128,3,759000
Sant Andreu,65,3,225000
Ciutat Vella,95,2,370000
Sants-Montjuïc,81,3,230000
Eixample,89,3,475000
Ciutat Vella,33,1,132000
Horta-Guinardó,118,3,395000
Sarrià-Sant Gervasi,131,4,660000
Les Corts,65,2,450000
Sarrià-Sant Gervasi,332,5,1395000
Eixample,86,2,440000
Eixample,100,3,640000
Eixample,123,3,850000
Ciutat Vella,40,1,179000
Eixample,135,3,890000
Eixample,158,3,1495000
Eixample,180,4,795000
Horta-Guinardó,66,1,220000
Sarrià-Sant Gervasi,208,4,1095000
Eixample,227,3,1995000
Eixample,85,1,240000
Les Corts,190,4,860000
Gràcia,60,2,160000
Sants-Montjuïc,60,3,220000
Ciutat Vella,96,2,375000
Sants-Montjuïc,92,3,375000
Eixample,180,4,695000
Les Corts,78,4,255000
Ciutat Vella,64,2,200000
Les Corts,143,4,1010000
Sarrià-Sant Gervasi,207,3,755000
Ciutat Vella,175,5,990000
Sants-Montjuïc,480,4,1450000
Les Corts,72,2,495000
Eixample,265,3,2300000
Sarrià-Sant Gervasi,132,4,780000
Eixample,105,2,699000
Les Corts,60,2,358000
Sants-Montjuïc,72,3,279000
Sarrià-Sant Gervasi,340,5,2650000
Ciutat Vella,102,1,386000
Nou Barris,72,3,179500
Eixample,115,4,560000
Sant Martí,67,3,205000
Sant Martí,73,3,218000
Sant Martí,170,4,453000
Sarrià-Sant Gervasi,177,4,997000
Eixample,200,3,2100000
Les Corts,85,3,320000
Ciutat Vella,150,2,495000
Les Corts,55,3,259000
Ciutat Vella,60,3,160000
Sarrià-Sant Gervasi,155,4,1100000
Eixample,135,3,639000
Eixample,112,4,560000
Horta-Guinardó,69,3,204000
Sarrià-Sant Gervasi,140,2,1500000
Eixample,108,1,550000
Eixample,33,1,230000
Sants-Montjuïc,77,3,245000
Sarrià-Sant Gervasi,335,4,1490000
Sarrià-Sant Gervasi,304,4,675000
Sarrià-Sant Gervasi,185,4,1190000
Gràcia,111,3,430000
Gràcia,222,5,975000
Horta-Guinardó,63,3,199900
Sarrià-Sant Gervasi,118,3,795000
Sants-Montjuïc,89,3,235000
Gràcia,84,2,535000
Eixample,90,3,329000
Eixample,117,3,595000
Eixample,58,2,319000
Sarrià-Sant Gervasi,140,4,685000
Horta-Guinardó,66,3,199900
Sant Andreu,62,3,220000
Nou Barris,91,4,353900
Sants-Montjuïc,74,3,279900
Les Corts,94,3,479000
Sarrià-Sant Gervasi,130,2,349000
Sants-Montjuïc,70,3,215000
Sants-Montjuïc,110,3,360000
Eixample,66,3,270000
Eixample,230,3,1300000
Les Corts,63,2,450000
Eixample,125,3,460000
Eixample,99,3,360000
Les Corts,496,6,3300000
Ciutat Vella,65,3,250000
Sants-Montjuïc,70,3,219000
Eixample,180,3,895000
Sarrià-Sant Gervasi,120,4,760000
Ciutat Vella,94,2,319000
Sarrià-Sant Gervasi,773,11,5700000
Eixample,94,3,448000
Ciutat Vella,144,3,599000
Eixample,121,2,485000
Eixample,150,2,1100000
Eixample,157,2,1100000
Eixample,110,3,598000
Sarrià-Sant Gervasi,138,2,349000
Ciutat Vella,131,3,970000
Eixample,150,4,695000
Sants-Montjuïc,94,3,239000
Eixample,77,1,690000
Eixample,180,3,530000
Sants-Montjuïc,73,2,375000
Sant Andreu,91,4,330000
Eixample,109,4,500000
Eixample,100,3,335000
Eixample,85,3,475000
Sarrià-Sant Gervasi,145,4,850000
Eixample,149,6,575000
Sarrià-Sant Gervasi,102,3,695000
Sarrià-Sant Gervasi,488,7,2600000
Sarrià-Sant Gervasi,310,5,1590000
Sant Martí,134,2,1900000
Sant Martí,130,4,1950000
Les Corts,212,5,1595000
Sarrià-Sant Gervasi,256,3,2300000
Ciutat Vella,222,4,1690000
Sarrià-Sant Gervasi,284,4,1950000
Sarrià-Sant Gervasi,185,4,1190000
Les Corts,80,4,290000
Gràcia,192,2,622000
Gràcia,52,1,315000
Sants-Montjuïc,86,3,299000
Sants-Montjuïc,106,3,299000
Ciutat Vella,100,2,495000
Sants-Montjuïc,93,3,299000
Sants-Montjuïc,57,1,268000
Sants-Montjuïc,78,3,360000
Eixample,110,3,445000
Sarrià-Sant Gervasi,235,4,1336000
Eixample,100,3,435000
Sarrià-Sant Gervasi,99,3,635000
Sarrià-Sant Gervasi,277,5,1900000
Sarrià-Sant Gervasi,185,5,1475000
Sarrià-Sant Gervasi,250,5,1100000
Sarrià-Sant Gervasi,270,5,1045000
Eixample,90,3,680000
Sarrià-Sant Gervasi,80,3,415000
Gràcia,77,4,180000
Sant Martí,79,4,195000
Horta-Guinardó,70,4,198000
Sarrià-Sant Gervasi,124,4,590000
Gràcia,140,3,595000
Sarrià-Sant Gervasi,325,6,1500000
Sant Andreu,79,3,199500
Ciutat Vella,65,2,195000
Sant Martí,65,3,225000
Sant Martí,65,2,247000
Gràcia,93,3,385000
Ciutat Vella,200,3,2500000
Ciutat Vella,45,2,162000
Gràcia,96,3,375000
Les Corts,210,3,1620000
Sarrià-Sant Gervasi,181,4,1095000
Sarrià-Sant Gervasi,182,4,1400000
Les Corts,97,3,398000
Gràcia,125,3,625000
Sant Martí,73,3,218000
Sant Martí,58,3,245000
Sant Andreu,65,2,155000
Ciutat Vella,95,3,375000
Sant Andreu,73,2,270000
Sant Martí,90,3,359000
Sant Martí,71,2,292000
Sant Martí,51,1,269000
Sant Martí,51,1,295000
Sant Martí,64,1,400000
Eixample,135,3,745000
Sant Martí,139,4,990000
Eixample,175,5,699000
Sant Martí,78,3,238000
Sarrià-Sant Gervasi,178,4,995000
Sant Andreu,75,3,298000
Sant Martí,67,3,230000
Sant Martí,91,4,249000
Sarrià-Sant Gervasi,143,4,700000
Eixample,100,4,350000
Sarrià-Sant Gervasi,60,2,350000
Les Corts,70,2,440000
Gràcia,190,3,1080000
Sants-Montjuïc,62,2,244000
Sarrià-Sant Gervasi,350,5,1595000
Eixample,113,4,535000
Ciutat Vella,38,1,139000
Sant Martí,76,3,135000
Sarrià-Sant Gervasi,325,4,1886000
Sarrià-Sant Gervasi,665,5,6250000
Sarrià-Sant Gervasi,331,5,1290000
Ciutat Vella,86,2,470000
Eixample,85,3,485000
Les Corts,371,5,2000000
Ciutat Vella,72,3,415000
Ciutat Vella,85,3,485000
Sarrià-Sant Gervasi,520,8,3900000
Eixample,95,4,485000
Eixample,140,4,795000
Ciutat Vella,318,3,2500000
Gràcia,69,3,240000
Ciutat Vella,56,2,200000
Sant Andreu,65,3,195000
Sants-Montjuïc,110,4,279000
Sants-Montjuïc,70,2,239000
Horta-Guinardó,275,4,450000
Sarrià-Sant Gervasi,196,4,1150000
Eixample,94,4,389000
Les Corts,64,3,260000
Sarrià-Sant Gervasi,105,3,580000
Gràcia,56,2,312000
Les Corts,309,5,2000000
Les Corts,72,2,290000
Nou Barris,77,3,139900
Horta-Guinardó,50,1,230000
Sarrià-Sant Gervasi,149,3,1400000
Nou Barris,65,3,185000
Les Corts,85,3,265000
Eixample,190,4,895000
Ciutat Vella,39,2,159900
Sarrià-Sant Gervasi,86,3,365000
Eixample,60,4,210000
Ciutat Vella,70,2,375000
Ciutat Vella,52,1,200000
Sarrià-Sant Gervasi,183,3,1790000
Sarrià-Sant Gervasi,270,5,1395000
Sarrià-Sant Gervasi,128,4,649000
Sants-Montjuïc,95,3,365000
Sarrià-Sant Gervasi,113,3,750000
Nou Barris,60,3,149500
Eixample,107,4,435000
Ciutat Vella,92,2,380000
Eixample,103,2,399000
Ciutat Vella,50,1,290000
Eixample,72,3,360000
Ciutat Vella,73,3,245000
Sant Martí,75,2,235000
Eixample,146,3,1430000
Sant Martí,170,4,453000
Sant Martí,129,3,470000
Sant Martí,90,4,380000
Sant Martí,50,2,209000
Eixample,230,2,1295000
Eixample,209,5,859000
Sants-Montjuïc,59,3,178000
Sarrià-Sant Gervasi,188,5,880000
Gràcia,90,4,349000
Les Corts,300,5,1950000
Ciutat Vella,161,5,690000
Sarrià-Sant Gervasi,304,6,1670000
Nou Barris,70,4,270000
Sant Martí,100,4,270000
Les Corts,269,5,1550000
Ciutat Vella,49,3,147000
Sarrià-Sant Gervasi,230,4,2050000
Les Corts,185,4,860000
Eixample,153,3,790000
Les Corts,85,3,349000
Sant Andreu,64,3,134900
Sant Andreu,95,3,298000
Sants-Montjuïc,60,3,175000
Sant Martí,100,4,270000
Sants-Montjuïc,110,4,360000
Sarrià-Sant Gervasi,412,6,1850000
Eixample,179,3,1650000
Eixample,76,2,189000
Eixample,100,3,320000
Eixample,85,2,345000
Sarrià-Sant Gervasi,177,4,895000
Nou Barris,55,2,133900
Sant Martí,120,5,375000
Sants-Montjuïc,41,1,199000
Eixample,90,4,550000
Sarrià-Sant Gervasi,491,13,3500000
Sarrià-Sant Gervasi,100,3,650000
Eixample,131,3,619000
Horta-Guinardó,65,3,170000
Sants-Montjuïc,68,3,249000
Ciutat Vella,65,2,330000
Sarrià-Sant Gervasi,87,2,600000
Sant Martí,56,1,220000
Sant Martí,104,2,470000
Sant Martí,91,3,189000
Sarrià-Sant Gervasi,160,5,770000
Sant Martí,55,1,235000
Ciutat Vella,162,5,495000
Les Corts,212,5,1595000
Sant Andreu,57,3,165000
Ciutat Vella,114,3,335000
Sarrià-Sant Gervasi,516,6,3750000
Sant Martí,58,3,180000
Sant Martí,64,1,400000
Sant Martí,65,1,400000
Sant Martí,133,4,990000
Sant Andreu,82,3,229000
Ciutat Vella,112,3,790000
Eixample,135,3,639000
Sarrià-Sant Gervasi,190,3,890000
Sant Martí,76,3,180000
Horta-Guinardó,65,2,169800
Horta-Guinardó,80,2,299000
Les Corts,48,2,199000
Eixample,140,4,599850
Nou Barris,60,3,149500
Eixample,77,4,255000
Ciutat Vella,80,1,250000
Eixample,90,3,499000
Sants-Montjuïc,64,3,220000
Ciutat Vella,58,1,370000
Les Corts,271,3,2980000
Sant Martí,70,3,321500
Sarrià-Sant Gervasi,230,3,1980000
Ciutat Vella,83,2,390000
Sants-Montjuïc,50,2,250000
Horta-Guinardó,158,2,365000
Ciutat Vella,92,2,380000
Sarrià-Sant Gervasi,180,3,885000
Sants-Montjuïc,50,1,243000
Sant Martí,60,2,259999
Eixample,90,2,590000
Sant Martí,81,2,225000
Sarrià-Sant Gervasi,178,4,995000
Les Corts,106,3,495000
Sants-Montjuïc,92,3,269000
Gràcia,85,2,410000
Sarrià-Sant Gervasi,139,4,790000
Horta-Guinardó,81,3,199000
Sarrià-Sant Gervasi,201,4,1590000
Gràcia,93,4,340000
Les Corts,71,3,395000
Sarrià-Sant Gervasi,300,3,1295000
Sant Martí,94,4,515000
Sant Martí,68,3,287000
Sarrià-Sant Gervasi,238,5,1265000
Eixample,336,7,1150000
Sant Martí,86,3,470000
Sant Martí,90,2,390000
Horta-Guinardó,87,3,322000
Gràcia,75,2,365000
Horta-Guinardó,98,3,397000
Eixample,155,4,695000
Eixample,101,2,780000
Eixample,133,4,539000
Sant Martí,156,3,1050000
Eixample,174,4,850000
Sant Andreu,88,3,445000
Sant Martí,200,3,1050000
Sant Martí,75,2,239000
Gràcia,64,2,239000
Sants-Montjuïc,83,3,200000
Sarrià-Sant Gervasi,210,5,1090000
Sarrià-Sant Gervasi,554,5,2975000
Sarrià-Sant Gervasi,600,5,1648000
Sant Martí,67,3,169000
Eixample,133,6,720000
Sarrià-Sant Gervasi,200,5,890000
Sants-Montjuïc,110,3,360000
Ciutat Vella,62,2,195000
Eixample,123,4,595000
Eixample,121,3,595000
Gràcia,125,4,525000
Sarrià-Sant Gervasi,145,4,649000
Sant Martí,176,3,1522500
Eixample,111,3,490000
Eixample,150,5,545000
Eixample,120,2,599000
Sant Martí,83,3,360000
Eixample,84,4,299000
Sants-Montjuïc,159,3,450000
Horta-Guinardó,90,3,435000
Sants-Montjuïc,92,2,319000
Eixample,69,2,279500
Nou Barris,72,3,240000
Gràcia,94,2,285000
Sant Martí,103,3,375000
Eixample,150,1,850000
Eixample,148,4,629000
Sarrià-Sant Gervasi,155,3,665000
Sarrià-Sant Gervasi,116,3,395000
Sarrià-Sant Gervasi,220,5,625000
Sarrià-Sant Gervasi,480,6,1350000
Ciutat Vella,50,1,185000
Les Corts,180,4,990000
Sarrià-Sant Gervasi,305,6,1600000
Les Corts,105,4,420000
Ciutat Vella,80,5,299000
Eixample,231,4,2750000
Ciutat Vella,109,3,685000
Eixample,145,4,760000
Ciutat Vella,89,2,550000
Sants-Montjuïc,295,5,1075000
Eixample,182,5,990000
Sarrià-Sant Gervasi,217,5,1150000
Ciutat Vella,172,4,1145000
Sarrià-Sant Gervasi,220,3,1100000
Les Corts,72,2,290000
Sarrià-Sant Gervasi,150,5,750000
Eixample,197,4,550000
Sarrià-Sant Gervasi,160,5,950000
Eixample,150,7,530000
Eixample,80,3,245000
Ciutat Vella,60,1,339000
Eixample,140,4,750000
Sarrià-Sant Gervasi,83,3,335000
Sarrià-Sant Gervasi,519,6,1350000
Sants-Montjuïc,84,3,245000
Ciutat Vella,156,4,630000
Sant Martí,68,3,192000
Horta-Guinardó,55,2,159000
Sant Andreu,65,3,190000
Sants-Montjuïc,75,3,215000
Sants-Montjuïc,70,3,230000
Sants-Montjuïc,60,3,165000
Eixample,84,2,630000
Sarrià-Sant Gervasi,95,3,349000
Sant Martí,73,3,229000
Sant Martí,79,4,195000
Sant Martí,139,4,698000
Horta-Guinardó,160,5,595000
Les Corts,88,2,360000
Sant Martí,52,2,99000
Eixample,90,3,399000
Eixample,62,2,280000
Sarrià-Sant Gervasi,80,2,590000
Ciutat Vella,50,1,185000
Ciutat Vella,114,4,295000
Sarrià-Sant Gervasi,118,4,425000
Eixample,143,4,560000
Eixample,95,4,610000
Les Corts,60,3,260000
Sarrià-Sant Gervasi,150,4,850000
Eixample,88,2,360000
Gràcia,90,2,350000
Sants-Montjuïc,67,2,288000
Sant Martí,170,4,1686000
Sarrià-Sant Gervasi,145,3,720000
Sant Martí,52,2,99000
Sarrià-Sant Gervasi,483,8,2750000
Sarrià-Sant Gervasi,380,6,1850000
Gràcia,122,3,835000
Eixample,148,4,629000
Eixample,34,1,210000
Sant Martí,66,2,200000
Les Corts,90,4,420000
Sarrià-Sant Gervasi,93,3,395000
Sant Martí,92,2,360000
Ciutat Vella,84,4,299000
Sants-Montjuïc,81,2,299000
Les Corts,50,2,200000
Horta-Guinardó,95,3,449000
Sarrià-Sant Gervasi,170,4,950000
Sant Martí,92,4,245000
Sant Martí,49,2,99000
Sant Martí,87,4,230000
Eixample,71,2,265000
Sant Andreu,130,3,466000
Eixample,124,4,520000
Nou Barris,69,3,176000
Nou Barris,65,3,119000
Sants-Montjuïc,76,3,280000
Sants-Montjuïc,88,4,295000
Sarrià-Sant Gervasi,149,4,640000
Gràcia,80,1,429000
Sants-Montjuïc,69,2,228000
Eixample,87,3,395000
Gràcia,110,2,470000
Eixample,88,2,269000
Sants-Montjuïc,70,2,275000
Sarrià-Sant Gervasi,148,3,635000
Sants-Montjuïc,117,3,410000
Sant Martí,74,3,185000
Eixample,72,2,285000
Eixample,290,3,2450000
Eixample,123,5,369000
Sants-Montjuïc,83,3,250000
Horta-Guinardó,65,3,169800
Nou Barris,71,2,245000
Ciutat Vella,76,2,200000
Sant Martí,82,2,398000
Sants-Montjuïc,33,1,129000
Gràcia,60,3,310000
Les Corts,600,5,3990000
Ciutat Vella,86,3,349000
Sarrià-Sant Gervasi,160,3,845000
Eixample,122,3,570000
Ciutat Vella,86,3,270000
Nou Barris,62,3,139000
Nou Barris,96,3,215000
Sants-Montjuïc,120,3,463000
Sants-Montjuïc,150,3,239000
Ciutat Vella,56,3,283000
Sants-Montjuïc,81,4,405000
Eixample,113,4,425000
Ciutat Vella,83,3,320000
Gràcia,116,4,349000
Nou Barris,83,3,418200
Sants-Montjuïc,101,3,260000
Eixample,123,4,439000
Les Corts,185,2,1600000
Sant Andreu,73,3,206000
Eixample,98,4,360000
Ciutat Vella,80,3,250000
Ciutat Vella,63,2,240000
Eixample,114,3,1650000
Eixample,217,3,2290000
Eixample,72,2,360000
Les Corts,95,4,560000
Les Corts,91,4,525000
Eixample,225,4,1975000
