Distrito,m^2,Habitaciones,Precios
Sant Martí,56,2,326000
Sant Martí,101,4,545000
Sant Andreu,84,2,430000
Sant Andreu,84,2,360000
Sant Andreu,84,2,340000
Sant Andreu,118,3,480000
Sant Martí,96,3,535000
Sant Martí,96,3,570000
Sant Martí,94,3,537500
Sant Martí,73,2,387125
Sant Martí,66,1,390000
Sant Martí,73,2,375250
Sant Martí,94,3,555000
Sant Martí,66,1,349125
Sant Martí,66,1,358125
Sant Martí,73,2,420000
Sant Martí,66,1,415000
Sant Martí,94,3,482125
Sant Martí,94,3,473575
Horta-Guinardó,98,3,398500
Horta-Guinardó,103,1,262000
Horta-Guinardó,83,2,351500
Sant Martí,158,4,685500
Sant Martí,94,3,474000
Sant Martí,67,2,342000
Sarrià-Sant Gervasi,105,3,1280000
Sarrià-Sant Gervasi,62,2,583000
Sarrià-Sant Gervasi,63,2,561000
Sant Martí,101,3,459000
Sant Martí,92,2,399000
Sant Martí,130,4,570000
Ciutat Vella,58,1,339000
Ciutat Vella,60,2,364000
Ciutat Vella,86,1,462000
Sarrià-Sant Gervasi,57,2,795000
Les Corts,185,2,1600000
Les Corts,99,2,715000
Gràcia,72,2,520000
Gràcia,72,2,495000
Gràcia,94,3,630000
Gràcia,51,1,322000
Gràcia,94,3,615000
Gràcia,61,1,350000
Eixample,64,2,435200
Eixample,55,1,378000
Eixample,64,2,448000
Horta-Guinardó,53,2,255697
Horta-Guinardó,53,2,255697
Horta-Guinardó,53,2,241815
Horta-Guinardó,53,2,247633
Horta-Guinardó,53,2,246467
Eixample,95,3,565000
Eixample,81,2,595000
Sants-Montjuïc,85,2,470000
Sants-Montjuïc,100,2,595000
Sants-Montjuïc,86,2,425000
Sant Martí,78,2,420000
Sant Martí,57,2,296000
Sant Martí,46,1,264000
Sant Martí,48,2,265000
Sant Martí,55,2,256000
Sant Martí,53,2,280000
Sant Martí,77,2,295000
Sant Martí,68,3,315000
Sant Martí,99,4,620000
Ciutat Vella,62,2,440000
Horta-Guinardó,81,3,395000
Horta-Guinardó,78,3,370000
Horta-Guinardó,78,3,360000
Les Corts,122,3,620000
Les Corts,190,3,750000
Les Corts,159,2,560000
Les Corts,114,3,620000
Les Corts,122,3,650000
Les Corts,122,3,590000
Ciutat Vella,131,3,830000
Eixample,113,3,1325000
Sant Andreu,85,3,395000
Sant Andreu,84,3,385000
Sant Andreu,128,4,580000
Sant Andreu,84,3,390000
Horta-Guinardó,113,3,285000
Sant Martí,99,3,643496
Sant Martí,118,3,680434
Sant Martí,109,3,527258
Sant Martí,112,3,695610
Sant Martí,62,2,413729
Sant Martí,68,2,409877
Sant Martí,85,3,545713
Sant Martí,62,2,560204
Sant Martí,62,2,429209
Sant Martí,62,2,387537
Sarrià-Sant Gervasi,572,5,2985000
Gràcia,97,3,506000
Gràcia,92,3,453000
Gràcia,97,3,523000
Gràcia,175,3,826000
Horta-Guinardó,76,2,282000
Sants-Montjuïc,89,3,285000
Sants-Montjuïc,70,2,245000
Sants-Montjuïc,61,2,224000
Sants-Montjuïc,102,4,456000
Horta-Guinardó,79,3,288000
Horta-Guinardó,50,2,220000
Horta-Guinardó,62,3,235000
Horta-Guinardó,63,3,268000
Horta-Guinardó,56,2,238000
Horta-Guinardó,88,4,298000
Horta-Guinardó,56,2,216000
Horta-Guinardó,62,3,258000
Horta-Guinardó,56,2,220000
Horta-Guinardó,86,3,269000
Horta-Guinardó,75,2,283000
Horta-Guinardó,100,3,435000
Horta-Guinardó,50,1,269000
Horta-Guinardó,50,1,259000
Horta-Guinardó,100,3,450000
Sarrià-Sant Gervasi,200,3,2360000
Sarrià-Sant Gervasi,200,3,2360000
Ciutat Vella,82,2,540000
Ciutat Vella,82,2,525000
Ciutat Vella,67,1,475000
Ciutat Vella,82,2,500000
Ciutat Vella,50,1,360000
Ciutat Vella,50,1,335000
Sant Andreu,77,2,345000
Sant Andreu,77,2,425000
Sant Andreu,77,2,355000
Sant Andreu,77,2,340000
Sant Andreu,77,2,340000
Horta-Guinardó,100,2,485000
Horta-Guinardó,94,2,465000
Horta-Guinardó,105,2,367500
Sarrià-Sant Gervasi,69,2,624000
Sarrià-Sant Gervasi,73,2,648000
Sarrià-Sant Gervasi,70,2,624000
Sarrià-Sant Gervasi,69,2,616000
Sarrià-Sant Gervasi,70,2,616000
Sarrià-Sant Gervasi,73,2,639000
Sarrià-Sant Gervasi,69,2,599000
Sarrià-Sant Gervasi,70,2,607000
Sarrià-Sant Gervasi,73,2,683000
Sarrià-Sant Gervasi,69,2,591000
Sant Martí,108,1,703000
Sant Martí,164,1,986500
Sant Martí,153,1,916000
Sant Martí,138,1,826500
Sant Martí,105,1,577000
Sant Martí,76,1,496000
Sant Martí,115,1,630000
Sant Martí,110,1,717000
Sant Martí,151,1,907500
Sant Martí,118,1,648000
Sant Martí,103,1,545000
Sant Martí,63,1,410000
Sant Martí,75,1,452500
Sant Martí,114,4,596000
Sant Martí,67,2,375000
Sant Martí,95,3,499000
Sant Martí,119,4,630000
Sant Andreu,91,4,410000
Sant Andreu,88,3,395000
Sant Andreu,87,3,380000
Sant Andreu,114,4,490000
Sant Andreu,109,4,480000
Sant Andreu,84,3,380000
Sant Andreu,147,4,520000
Sant Andreu,120,3,385000
Sant Andreu,96,3,360000
Sant Andreu,114,4,375000
Sant Andreu,112,3,420000
Horta-Guinardó,55,1,162000
Sant Andreu,86,3,445000
Sant Andreu,86,3,410000
Sant Andreu,86,3,405000
Sant Andreu,86,3,400000
Sant Andreu,69,2,385000
Sant Andreu,69,2,350000
Sant Andreu,69,2,345000
Sant Andreu,69,2,340000
Eixample,148,3,745000
Horta-Guinardó,112,3,495000
Sant Martí,104,3,620000
Sant Martí,104,3,645000
Sant Martí,104,3,429000
Sant Martí,91,3,409000
Sant Martí,95,3,575000
Sant Martí,95,3,457000
Sant Martí,83,2,358000
Sant Martí,82,2,398000
Sant Martí,91,3,446000
Sant Martí,91,3,455000
Sant Martí,81,2,391000
Sarrià-Sant Gervasi,78,1,495000
Horta-Guinardó,115,3,450000
Ciutat Vella,140,2,650000
Ciutat Vella,100,2,450000
Ciutat Vella,100,2,450000
Sant Martí,113,3,750000
Sant Martí,113,3,750000
Sant Martí,106,3,690000
Horta-Guinardó,53,2,252920
Sants-Montjuïc,72,2,340000
Sants-Montjuïc,92,3,435000
Sants-Montjuïc,107,3,493718
Sant Andreu,56,2,282000
Sant Andreu,56,2,272000
Sant Andreu,56,2,286000
Sant Andreu,56,2,268000
Sarrià-Sant Gervasi,145,2,1210000
Sarrià-Sant Gervasi,198,2,1940000
Sant Martí,92,3,606000
Sant Martí,92,2,690000
Sant Martí,63,2,296000
Sant Martí,88,2,650000
Sant Martí,76,2,398000
Horta-Guinardó,61,2,328000
Horta-Guinardó,61,2,298000
Horta-Guinardó,85,3,408000
Horta-Guinardó,58,2,398000
Horta-Guinardó,61,2,348000
Nou Barris,29,1,118000
Horta-Guinardó,75,2,337000
Horta-Guinardó,75,2,335000
Horta-Guinardó,116,3,395000
Sants-Montjuïc,118,4,502000
Horta-Guinardó,74,2,296500
Horta-Guinardó,230,4,599000
Horta-Guinardó,52,1,201500
Horta-Guinardó,62,1,225500
Horta-Guinardó,62,1,235500
Horta-Guinardó,52,1,209500
Sant Martí,69,2,435000
Sant Martí,110,2,795000
Sant Martí,63,1,356000
Sants-Montjuïc,76,2,340000
Nou Barris,77,3,268000
Nou Barris,87,3,312000
Nou Barris,47,1,156000
Nou Barris,73,3,358000
Gràcia,72,3,365000
Gràcia,103,4,465000
Nou Barris,55,2,267000
Nou Barris,61,2,274000
Nou Barris,55,2,260000
Nou Barris,74,2,347000
Sant Andreu,90,3,418000
Sant Andreu,143,2,455000
Sant Andreu,98,3,467000
Sant Andreu,94,3,458000
Sant Martí,115,4,601500
Sant Martí,70,2,285000
Sarrià-Sant Gervasi,70,1,295000
Gràcia,90,2,622250
Gràcia,71,1,523450
Sant Martí,73,3,462000
Horta-Guinardó,187,4,778000
Les Corts,120,3,820000
Gràcia,75,2,425000
Gràcia,75,2,450000
Gràcia,74,2,445000
Gràcia,75,2,440000
Sant Martí,113,4,705000
Horta-Guinardó,62,2,305000
Horta-Guinardó,45,1,240000
Horta-Guinardó,45,1,250000
Horta-Guinardó,63,2,315000
Horta-Guinardó,63,2,305000
Sarrià-Sant Gervasi,90,3,650000
Sarrià-Sant Gervasi,130,3,1125000
Sarrià-Sant Gervasi,146,4,1195000
Gràcia,92,3,442000
Sant Martí,63,2,394000
Sant Martí,70,2,371000
Ciutat Vella,79,2,638000
Ciutat Vella,69,2,571000
Ciutat Vella,79,2,661000
Ciutat Vella,59,2,510000
Ciutat Vella,88,3,694000
Ciutat Vella,79,2,483000
Ciutat Vella,71,2,431000
Ciutat Vella,82,2,498000
Ciutat Vella,56,2,357000
Ciutat Vella,90,2,533000
Les Corts,72,2,510000
Sarrià-Sant Gervasi,154,4,1253000
Sarrià-Sant Gervasi,117,3,978000
Sarrià-Sant Gervasi,86,2,545000
Horta-Guinardó,68,2,320000
Horta-Guinardó,130,4,584000
Sant Martí,102,3,595000
Sant Martí,52,2,305000
Sant Martí,52,2,300000
Sant Martí,52,2,305000
Sant Martí,52,2,310000
Sant Martí,52,2,315000
Sant Martí,52,2,295000
Les Corts,72,2,495000
Les Corts,125,3,795000
Eixample,129,2,758000
Les Corts,127,4,977500
Les Corts,81,2,634500
Ciutat Vella,47,1,200000
Ciutat Vella,72,1,300000
Sant Martí,81,1,445500
Horta-Guinardó,58,2,224000
Les Corts,143,4,995000
Eixample,92,4,460000
Horta-Guinardó,174,6,299000
Eixample,183,5,725000
Eixample,183,6,725000
Sant Martí,99,3,340000
Eixample,196,4,595000
Sarrià-Sant Gervasi,210,5,749000
Les Corts,113,4,475000
Eixample,192,5,990000
Eixample,190,4,1175000
Eixample,85,3,265000
Eixample,92,3,395000
Ciutat Vella,175,5,680000
Sarrià-Sant Gervasi,143,5,638000
Sarrià-Sant Gervasi,139,4,695000
Eixample,110,4,550000
Sants-Montjuïc,72,4,229000
Nou Barris,71,3,230000
Eixample,79,3,345000
Eixample,110,3,525000
Eixample,83,2,390000
Ciutat Vella,100,4,350000
Sarrià-Sant Gervasi,202,4,950000
Sarrià-Sant Gervasi,247,5,1250000
Eixample,170,4,730000
Les Corts,62,3,385000
Les Corts,73,3,430000
Eixample,200,5,1200000
Eixample,145,6,530000
Les Corts,80,4,340000
Les Corts,297,5,1550000
Sarrià-Sant Gervasi,262,4,1350000
Sarrià-Sant Gervasi,124,3,759000
Horta-Guinardó,161,5,490000
Sant Martí,77,3,255000
Gràcia,74,2,325000
Sant Martí,150,4,360000
Eixample,212,7,1650000
Sarrià-Sant Gervasi,285,5,1780000
Sarrià-Sant Gervasi,200,5,895000
Les Corts,800,6,6500000
Les Corts,790,10,4600000
Ciutat Vella,140,5,670000
Eixample,155,6,755000
Horta-Guinardó,81,3,192000
Sant Martí,79,4,195000
Sarrià-Sant Gervasi,435,7,1850000
Horta-Guinardó,47,1,185000
Sarrià-Sant Gervasi,143,3,730000
Gràcia,72,3,240000
Eixample,97,3,350000
Gràcia,391,7,1050000
Sant Andreu,64,3,186000
Sarrià-Sant Gervasi,142,3,800000
Sarrià-Sant Gervasi,118,3,670000
Gràcia,91,3,389000
Gràcia,83,3,420000
Horta-Guinardó,192,5,450000
Les Corts,279,5,1550000
Sarrià-Sant Gervasi,200,2,1780000
Gràcia,72,4,225000
Sants-Montjuïc,61,3,175000
Les Corts,660,5,6900000
Sarrià-Sant Gervasi,730,7,4500000
Sarrià-Sant Gervasi,512,6,3900000
Sarrià-Sant Gervasi,358,5,1880000
Sants-Montjuïc,62,3,190000
Nou Barris,65,3,145000
Sarrià-Sant Gervasi,240,5,1625000
Les Corts,360,6,1800000
Ciutat Vella,114,4,340000
Gràcia,63,2,265000
Eixample,77,4,255000
Eixample,97,4,445000
Les Corts,331,7,2500000
Gràcia,68,3,149000
Ciutat Vella,113,4,450000
Eixample,70,4,255000
Sant Andreu,95,4,295000
Eixample,96,3,570000
Sarrià-Sant Gervasi,98,3,410000
Sants-Montjuïc,70,2,162000
Eixample,630,8,2520000
Eixample,90,3,340000
Gràcia,89,4,315000
Gràcia,83,3,335000
Eixample,150,3,1495000
Gràcia,54,1,280000
Les Corts,447,8,2500000
Horta-Guinardó,89,4,259500
Sant Martí,185,3,475000
Sant Martí,72,3,150000
Sants-Montjuïc,68,3,152000
Ciutat Vella,42,2,118000
Sarrià-Sant Gervasi,215,5,930000
Eixample,159,4,800000
Sants-Montjuïc,93,3,300000
Eixample,98,4,430000
Eixample,99,4,359300
Eixample,87,3,360000
Ciutat Vella,110,5,358000
Eixample,100,4,430000
Eixample,95,3,360000
Eixample,102,4,490000
Ciutat Vella,62,3,205000
Sarrià-Sant Gervasi,65,2,380000
Sarrià-Sant Gervasi,114,3,500000
Les Corts,202,5,1200000
Sant Martí,76,3,169900
Sant Andreu,70,3,215000
Sants-Montjuïc,73,2,189000
Sant Martí,100,4,259000
Sarrià-Sant Gervasi,406,6,2400000
Eixample,119,3,710000
Sant Martí,70,3,169000
Sant Andreu,71,3,165000
Sant Andreu,65,3,205000
Sarrià-Sant Gervasi,211,3,890000
Eixample,124,3,455000
Eixample,78,3,340000
Eixample,124,4,450000
Sarrià-Sant Gervasi,110,3,395000
Eixample,87,3,385000
Gràcia,420,7,1050000
Sant Andreu,65,3,179000
Sant Martí,78,4,325000
Eixample,283,5,1050000
Eixample,150,5,850000
Eixample,250,4,2750000
Eixample,185,6,780000
Eixample,173,5,595000
Sarrià-Sant Gervasi,123,5,450000
Les Corts,165,5,830000
Eixample,74,3,275000
Eixample,158,4,555000
Eixample,152,3,550000
Gràcia,70,2,289000
Eixample,158,5,550000
Eixample,140,4,582000
Eixample,77,2,199000
Les Corts,280,5,2500000
Eixample,60,4,210000
Sarrià-Sant Gervasi,97,4,425000
Sant Martí,76,4,183000
Gràcia,117,4,495000
Eixample,75,4,295000
Sant Andreu,69,3,195000
Eixample,107,3,399000
Sants-Montjuïc,86,4,320000
Sants-Montjuïc,58,2,195000
Ciutat Vella,76,2,270000
Les Corts,439,6,3950000
Les Corts,484,7,2500000
Eixample,124,4,540000
Sants-Montjuïc,70,3,175000
Eixample,80,3,349000
Eixample,77,3,295000
Eixample,123,3,595000
Sant Andreu,65,3,179900
Les Corts,69,3,425000
Eixample,112,4,540000
Ciutat Vella,80,4,219000
Eixample,152,4,660000
Eixample,42,1,260000
Eixample,89,3,400000
Eixample,140,3,620000
Eixample,140,4,620000
Gràcia,62,1,215000
Sarrià-Sant Gervasi,306,5,1750000
Eixample,52,2,290000
Eixample,159,4,670000
Les Corts,170,4,1250000
Eixample,78,3,315000
Eixample,79,2,299000
Sarrià-Sant Gervasi,121,5,495000
Ciutat Vella,30,1,100000
Sarrià-Sant Gervasi,68,1,285000
Sarrià-Sant Gervasi,135,4,695000
Eixample,81,3,440000
Sarrià-Sant Gervasi,376,3,1150000
Sarrià-Sant Gervasi,115,4,445000
Sant Andreu,65,3,179000
Sarrià-Sant Gervasi,475,7,1850000
Ciutat Vella,81,3,260000
Sarrià-Sant Gervasi,305,5,1750000
Eixample,175,2,1700000
Les Corts,170,5,670000
Sant Martí,63,2,199000
Nou Barris,130,4,130000
Eixample,83,3,259900
Sants-Montjuïc,100,4,385000
Gràcia,74,3,269000
Sarrià-Sant Gervasi,33,1,190000
Sant Martí,68,3,190000
Les Corts,88,2,360000
Les Corts,108,4,430000
Sants-Montjuïc,90,2,299000
Sarrià-Sant Gervasi,142,4,840000
Sants-Montjuïc,90,3,288000
Eixample,118,5,475000
Sant Martí,70,2,199000
Eixample,30,1,158000
Ciutat Vella,119,2,375000
Sarrià-Sant Gervasi,150,5,410000
Horta-Guinardó,124,5,375000
Sarrià-Sant Gervasi,101,4,475000
Horta-Guinardó,104,4,285000
Gràcia,87,3,420000
Les Corts,62,2,400000
Sarrià-Sant Gervasi,144,4,520000
Eixample,159,5,680000
Sarrià-Sant Gervasi,67,3,345000
Ciutat Vella,95,3,235000
Gràcia,65,3,220000
Eixample,250,5,790000
Sants-Montjuïc,71,3,230000
Sant Martí,85,3,189000
Sant Martí,76,4,183000
Eixample,106,3,550000
Sarrià-Sant Gervasi,180,5,700000
Eixample,305,7,1050000
Eixample,70,3,265000
Sarrià-Sant Gervasi,224,5,890000
Les Corts,140,5,1220000
Sarrià-Sant Gervasi,490,9,3600000
Sarrià-Sant Gervasi,173,5,795000
Ciutat Vella,76,2,265000
Horta-Guinardó,61,3,247000
Gràcia,142,4,495000
Eixample,183,5,699000
Sarrià-Sant Gervasi,510,6,2028400
Nou Barris,40,2,105000
Eixample,125,4,689000
Eixample,88,1,780000
Nou Barris,65,3,189000
Eixample,83,3,249000
Eixample,132,5,499000
Sant Martí,79,3,310000
Eixample,120,2,415000
Eixample,75,3,265000
Sants-Montjuïc,71,3,232000
Eixample,157,7,530000
Eixample,71,2,299000
Eixample,158,4,530000
Sants-Montjuïc,87,3,360000
Sarrià-Sant Gervasi,217,5,990000
Sant Martí,63,3,230000
Gràcia,52,1,195000
Sarrià-Sant Gervasi,62,2,275000
Sarrià-Sant Gervasi,130,5,495000
Eixample,99,4,700000
Eixample,77,3,440000
Sarrià-Sant Gervasi,113,4,395000
Eixample,185,6,850000
Horta-Guinardó,98,4,240000
Eixample,161,5,1150000
Sant Andreu,65,3,180000
Sant Andreu,94,3,240000
Sant Martí,73,3,185000
Sant Andreu,65,3,215000
Sant Andreu,85,4,240000
Eixample,148,4,389000
Gràcia,420,8,1050000
Sants-Montjuïc,55,2,150000
Ciutat Vella,79,2,285000
Les Corts,29,1,245000
Sarrià-Sant Gervasi,95,3,525000
Eixample,260,8,950000
Gràcia,79,3,268600
Sant Andreu,65,3,169000
Sants-Montjuïc,77,4,295000
Eixample,81,3,265000
Ciutat Vella,95,2,306000
Eixample,70,3,340000
Eixample,159,5,680000
Les Corts,177,5,830000
Eixample,82,3,318000
Sarrià-Sant Gervasi,173,4,795000
Sants-Montjuïc,42,1,135000
Eixample,160,5,560000
Sants-Montjuïc,110,4,360000
Sants-Montjuïc,65,3,175000
Horta-Guinardó,128,3,530000
Sant Martí,64,1,400000
Sant Andreu,66,3,215000
Les Corts,147,4,675000
Les Corts,180,4,1100000
Gràcia,62,1,215000
Sarrià-Sant Gervasi,128,4,585000
Eixample,66,3,295000
Ciutat Vella,51,2,200000
Eixample,109,5,480000
Eixample,75,2,299000
Sants-Montjuïc,140,3,640000
Sant Andreu,66,3,199000
Les Corts,157,4,1100000
Sarrià-Sant Gervasi,273,5,1190000
Horta-Guinardó,119,4,390000
Sant Martí,71,3,172000
Sarrià-Sant Gervasi,243,6,925000
Sarrià-Sant Gervasi,320,5,1385000
Sant Martí,150,4,219900
Nou Barris,70,2,120000
Horta-Guinardó,80,3,265000
Eixample,84,3,280000
Eixample,56,2,279000
Sarrià-Sant Gervasi,250,6,950000
Sant Andreu,82,3,228000
Sant Andreu,82,3,228000
Sants-Montjuïc,136,3,299000
Eixample,133,3,485000
Eixample,175,6,730000
Sarrià-Sant Gervasi,167,5,750000
Sarrià-Sant Gervasi,270,5,1300000
Sarrià-Sant Gervasi,125,3,499000
Ciutat Vella,36,1,200000
Gràcia,137,4,497000
Sants-Montjuïc,86,3,155000
Horta-Guinardó,52,2,165000
Sarrià-Sant Gervasi,148,5,695000
Nou Barris,60,3,142000
Sant Martí,61,2,159900
Sarrià-Sant Gervasi,170,3,695000
Sant Andreu,82,3,228000
Eixample,66,2,265000
Sants-Montjuïc,100,4,345000
Sant Martí,63,3,230000
Horta-Guinardó,75,3,145000
Gràcia,118,4,410000
Horta-Guinardó,77,4,249000
Eixample,114,4,429000
Nou Barris,60,2,69000
Eixample,109,4,475000
Eixample,146,5,670000
Sant Martí,84,3,299000
Sarrià-Sant Gervasi,165,4,650000
Sarrià-Sant Gervasi,134,3,660000
Sants-Montjuïc,70,3,219000
Eixample,114,3,720000
Ciutat Vella,38,1,109000
Eixample,103,2,535000
Les Corts,274,5,2000000
Les Corts,103,3,680000
Eixample,118,3,615000
Sarrià-Sant Gervasi,103,3,680000
Ciutat Vella,110,3,390000
Horta-Guinardó,68,3,132000
Eixample,82,4,280000
Les Corts,110,3,450000
Gràcia,88,3,350000
Ciutat Vella,44,2,120000
Sants-Montjuïc,67,3,380000
Horta-Guinardó,160,4,400000
Sants-Montjuïc,94,3,280000
Sant Martí,120,3,370000
Eixample,108,3,409000
Sarrià-Sant Gervasi,97,2,390000
Sant Martí,131,3,595000
Les Corts,63,2,385000
Sant Martí,102,4,265000
Eixample,91,4,370000
Sarrià-Sant Gervasi,250,6,950000
Sarrià-Sant Gervasi,248,6,950000
Eixample,84,3,280000
Les Corts,110,4,540000
Eixample,74,3,250000
Sarrià-Sant Gervasi,339,7,1400000
Sarrià-Sant Gervasi,83,3,325000
Ciutat Vella,120,3,379000
Ciutat Vella,61,2,195000
Eixample,119,2,529000
Sants-Montjuïc,80,3,230000
Ciutat Vella,136,4,500000
Gràcia,64,1,280250
Sants-Montjuïc,77,3,185000
Ciutat Vella,81,3,225000
Eixample,63,1,365000
Eixample,76,4,255000
Ciutat Vella,64,3,135000
Sants-Montjuïc,78,4,285000
Les Corts,360,7,1680000
Ciutat Vella,138,3,379000
Sant Martí,76,4,183000
Horta-Guinardó,55,2,149000
Eixample,172,5,579000
Eixample,80,2,230000
Eixample,166,6,675000
Les Corts,125,3,360000
Sant Martí,83,3,315000
Nou Barris,103,6,280000
Ciutat Vella,34,1,158000
Nou Barris,56,3,129000
Sarrià-Sant Gervasi,96,4,420000
Sants-Montjuïc,70,3,175000
Les Corts,72,4,255000
Les Corts,62,3,395000
Ciutat Vella,116,4,450000
Les Corts,140,3,540000
Ciutat Vella,53,2,159000
Sants-Montjuïc,20,1,89500
Ciutat Vella,36,2,105000
Ciutat Vella,70,2,380000
Sarrià-Sant Gervasi,490,8,2500000
Eixample,180,5,750000
Sants-Montjuïc,61,3,210000
Sant Andreu,90,3,250000
Sant Martí,77,3,185000
Horta-Guinardó,81,3,250000
Les Corts,81,3,246000
Sarrià-Sant Gervasi,282,5,2850000
Ciutat Vella,112,4,365000
Eixample,110,4,365000
Sants-Montjuïc,64,3,260000
Gràcia,180,5,599000
Ciutat Vella,230,5,769000
Sarrià-Sant Gervasi,177,3,395000
Sant Martí,86,4,180000
Sant Martí,80,4,180000
Eixample,70,3,249000
Eixample,191,4,750000
Nou Barris,80,1,500000
Les Corts,127,4,550000
Eixample,104,3,445000
Sarrià-Sant Gervasi,390,6,1850000
Nou Barris,62,3,189000
Gràcia,252,3,230000
Eixample,58,3,350000
Eixample,65,3,265000
Sant Martí,79,4,195000
Les Corts,101,2,367000
Eixample,149,4,495000
Gràcia,64,2,280000
Eixample,83,4,360000
Sant Martí,60,3,176000
Sants-Montjuïc,110,3,175000
Sarrià-Sant Gervasi,180,5,850000
Horta-Guinardó,67,3,245000
Nou Barris,58,3,165000
Sarrià-Sant Gervasi,177,3,1250000
Sants-Montjuïc,59,3,185000
Les Corts,130,4,525000
Sarrià-Sant Gervasi,121,3,720000
Eixample,68,3,280000
Ciutat Vella,45,2,180000
Sarrià-Sant Gervasi,200,5,999000
Gràcia,74,3,249000
Nou Barris,66,3,169000
Sant Andreu,70,3,220000
Eixample,104,3,349000
Sant Martí,86,4,199900
Sant Martí,61,3,300000
Sant Andreu,78,4,245000
Gràcia,96,5,370000
Horta-Guinardó,79,3,260000
Ciutat Vella,50,2,200000
Sant Martí,75,3,210000
Eixample,106,3,550000
Sant Martí,102,4,265000
Sants-Montjuïc,60,3,175000
Eixample,75,4,255000
Sant Andreu,85,4,270000
Eixample,78,2,315000
Sants-Montjuïc,103,5,249000
Nou Barris,58,3,168000
Sarrià-Sant Gervasi,70,2,235000
Sants-Montjuïc,75,4,279000
Sants-Montjuïc,120,4,388000
Eixample,120,2,695000
Horta-Guinardó,60,3,129000
Sarrià-Sant Gervasi,95,1,199000
Eixample,66,3,270000
Sarrià-Sant Gervasi,100,4,390000
Sants-Montjuïc,76,3,220000
Ciutat Vella,44,2,120000
Sant Martí,73,3,160000
Ciutat Vella,79,3,280000
Eixample,94,2,525000
Sarrià-Sant Gervasi,144,5,770000
Sarrià-Sant Gervasi,144,5,720000
Sarrià-Sant Gervasi,280,5,1260000
Sarrià-Sant Gervasi,146,3,1450000
Sarrià-Sant Gervasi,314,5,1750000
Sant Martí,125,4,275000
Les Corts,836,8,4600000
Les Corts,500,4,3400000
Sant Martí,61,2,159900
Sant Andreu,57,3,114900
Sants-Montjuïc,80,4,165000
Horta-Guinardó,66,3,175000
Horta-Guinardó,90,3,400000
Sants-Montjuïc,140,5,380000
Eixample,124,4,390000
Sarrià-Sant Gervasi,130,4,625000
Ciutat Vella,45,2,178000
Ciutat Vella,50,2,178000
Ciutat Vella,100,2,230000
Ciutat Vella,75,2,230000
Eixample,73,1,470000
Eixample,79,2,450000
Eixample,79,2,460000
Les Corts,73,3,355000
Les Corts,73,3,435000
Sant Andreu,88,3,300000
Ciutat Vella,85,4,283000
Eixample,90,4,350000
Sarrià-Sant Gervasi,173,3,330000
Horta-Guinardó,75,2,135000
Sant Martí,58,1,176000
Eixample,84,2,295000
Ciutat Vella,78,3,158000
